序号,仓库编码,仓库简码,仓库名称,仓库状态,是否物流仓,物流标记码,仓库类型,是否RDC仓,SAP仓库ID,仓库地址,操作
1,DS-ZHGC,珠海工厂-电商,珠海工厂-电商,有效,否,,物理仓,否,0000,[object Object],
2,DS-NJSF,南京神行-电商,南京神行-电商,有效,否,,物理仓,否,0000,[object Object],
3,DS-HNSF,华南顺丰-电商,华南顺丰-电商,有效,否,,物理仓,否,0000,[object Object],
4,DS-ZHSX,珠海神行-电商,珠海神行-电商,有效,否,,物理仓,否,0000,[object Object],
5,DS-WHSF,华中顺丰-电商,华中顺丰-电商,有效,否,,物理仓,否,0000,[object Object],
6,DS-HDCN,华东菜鸟-电商,华东菜鸟-电商,有效,否,,物理仓,否,0000,[object Object],
7,DS-XNRQ,西南荣庆-电商,西南荣庆-电商,有效,否,,物理仓,否,0000,[object Object],
8,DS-HBRQ,华北荣庆-电商,华北荣庆-电商,有效,否,,物理仓,否,0000,[object Object],
9,JXRDC,JX,嘉兴仓,有效,否,,物理仓,是,JXRDC,[object Object],
10,HNSF,HNSF,华南顺丰仓,有效,否,,物理仓,是,HNSF,[object Object],
11,BJSP,BJSP,北京尚品共享仓（C仓）,有效,否,,物理仓,否,BJSP,[object Object],
12,njsxzh,南京神行,南京神行众华共享仓（c仓）,有效,否,,物理仓,否,njsxzh,[object Object],
13,gzsxbj,广州神行,广州神行佰健共享仓（c仓）,有效,否,,物理仓,否,gzsxbj,[object Object],
14,njsx,神行佰健,南京神行佰健共享仓（c仓）,有效,否,,物理仓,否,njsx,[object Object],
15,njbjsx,南京神行,南京神行健领共享仓（物理c仓）,有效,否,,物理仓,否,njbjsx,[object Object],
16,gznjbj,广州佰健共享仓,广州荣庆佰健共享仓（物理c仓）,有效,否,,物理仓,否,gznjbj,[object Object],
17,BJZZC,BJZZC,北京中转仓,有效,是,BJ,物理仓,否,BJZZC,[object Object],
18,NJLJ,NJLJ,南京神行健领共享仓,有效,否,,物理仓,否,NJLJ,[object Object],
19,ZHJD,ZHJD,珠海京东仓,有效,否,,物理仓,是,ZHJD,[object Object],
20,BJRDC,BJ,北京仓,有效,否,BJ,物理仓,是,BJRDC,[object Object],
21,njchc,njchc,南京从化仓,有效,是,,物理仓,是,njchc,[object Object],
22,WHZZC,WHZZC,武汉中转仓,有效,是,WH,物理仓,否,WHZZC,[object Object],
23,ZHZZC,ZHZZC,珠海中转仓,有效,是,ZHZZC,物理仓,否,ZHZZC,[object Object],
24,KSZZC,KSZZC,昆山中转仓,有效,是,TC,物理仓,否,KSZZC,[object Object],
25,XNZZC,XNZZC,成都中转仓,有效,是,CD,物理仓,否,XNZZC,[object Object],
26,ZJ,ZJ,浙江C仓,有效,是,,物理仓,否,ZJ,[object Object],
27,NJ,NJ,南京佰健仓,有效,否,,物理仓,否,NJ,[object Object],
28,HLJZZC,HLJZZC,黑龙江中转仓,有效,是,TJ,物理仓,否,HLJZZC,[object Object],
29,XJZZC,XJZZC,新疆中转仓,有效,是,CD,物理仓,否,XJZZC,[object Object],
30,HZRDC,HZ,武汉仓,有效,否,SF,物理仓,是,HZRDC,[object Object],
31,XARDC,XA,西安仓,有效,否,XA,物理仓,是,XARDC,[object Object],
32,SYRDC,SY,沈阳仓,有效,是,SY,物理仓,是,SYRDC,[object Object],
33,HNRDC,HN,华南仓,有效,否,HN,物理仓,是,HNRDC,[object Object],
34,GZK,GZ,广州仓,有效,否,GZ,物理仓,是,GZK,[object Object],
35,ZHK,ZH,珠海仓,有效,否,ZH,物理仓,否,ZHK,[object Object],
36,XNRDC,CD,成都仓,有效,否,CD,物理仓,是,XNRDC,[object Object],
37,TJRDC,TJ,天津仓,有效,否,TJ,物理仓,是,TJRDC,[object Object],
38,HDRDC,KS,昆山仓,有效,否,TC,物理仓,是,HDRDC,[object Object],
