用例ID,模块,子场景,业务描述,输入,期望输出,是否测试
INT-301,意图识别,需求预测意图识别,生成下周需求预测,帮我生成2025年6月的需求预测,,否
INT-302,意图识别,需求预测意图识别,查询成都仓下周需求预测明细,帮我查询成都仓2025年6月需求预测明细,,
INT-303,意图识别,需求预测意图识别,查询A.A.01.01.AA010123N下周需求预测明细,帮我查询A.A.01.01.AA010123N，2025年6月需求预测明细,,
INT-304,意图识别,需求预测意图识别,查询A.A.01.01.AA010123N、成都仓下周需求预测明细,帮我查询A.A.01.01.AA010123N，成都仓2025年6月需求预测明细,,
INT-305,意图识别,需求预测意图识别,查询北京/成都仓下周需求预测明细,帮我查询北京、成都仓2025年6月需求预测明细,,
INT-306,意图识别,需求预测意图识别,别名映射→标准仓，下周预测明细,帮我查询帝都仓2025年6月需求预测明细,,
INT-307,意图识别,需求预测意图识别,修改下周预测（A.A.01.01.AA010123N×成都仓=8000）,帮我把A.A.01.01.AA010123N、成都仓2025年6月需求预测修改为8000,,否
INT-308,意图识别,需求预测意图识别,导出CSV，下周需求预测,帮我生成2025年6月需求预测，我需要导出CSV,,否
INT-401,意图识别,补货计划意图识别,生成本周补货计划,帮我生成本周的补货计划,,否
INT-402,意图识别,补货计划意图识别,查询北京仓今日补货计划,看看2025年6月6日北京仓的补货计划,,
INT-403,意图识别,补货计划意图识别,查询北京/成都今日补货计划,看看2025年6月6日北京、成都的补货计划,,
INT-404,意图识别,补货计划意图识别,查询A.A.01.01.AA010123N今日补货计划,看看2025年6月6日A.A.01.01.AA010123N的补货计划,,
INT-405,意图识别,补货计划意图识别,别名映射→标准仓，今日补货计划,看看2025年6月6日帝都仓的补货计划,,
INT-406,意图识别,补货计划意图识别,修改今日补货数量（A.A.01.01.AA010123N=500）,把A.A.01.01.AA010123N今天的补货数量改为500,,否
INT-407,意图识别,补货计划意图识别,导出CSV，今日补货计划,把今天的补货计划导成CSV给我,,否
INT-501,意图识别,调拨计划意图识别,生成本周调拨计划,帮我生成本周的调拨计划,,否
INT-502,意图识别,调拨计划意图识别,查询今日调拨计划,2025年6月6日的调拨计划是什么,,
INT-503,意图识别,调拨计划意图识别,查询本周北京仓调拨计划,生成本周北京仓的调拨计划,,否
INT-504,意图识别,调拨计划意图识别,查询本周A.A.01.01.AA010123N/A002调拨计划,只做 A.A.01.01.AA010123N 和 A.A.006.AA0060003的本周调拨,,
INT-505,意图识别,调拨计划意图识别,查询本周北京/成都调拨计划,生成本周北京/成都的调拨计划,,否
INT-506,意图识别,调拨计划意图识别,修改本周调拨数量（北京仓×A.A.01.01.AA010123N=300）,把北京仓本周A.A.01.01.AA010123N的调拨数量改为300,,否
INT-507,意图识别,调拨计划意图识别,导出CSV，本周调拨计划,把本周的调拨计划导成 CSV 给我,,否
INT-601,意图识别,KPI报告意图识别,生成上月KPI报告（按仓）,请生成上月的KPI报告,,否
INT-602,意图识别,KPI报告意图识别,单仓：2025年6月KPI报告（北京仓）,看看 北京仓 2025年6月的 KPI 报告,,
INT-603,意图识别,KPI报告意图识别,仓别名映射：帝都仓→北京仓（2025年6月KPI报告）,看看 帝都仓 2025年6月的 KPI 报告,,
INT-604,意图识别,KPI报告意图识别,导出CSV：2025年6月KPI报告,把2025年6月的 KPI 报告导成 CSV 给我,,否
INT-605,意图识别,KPI报告意图识别,查询本地订单满足率（2025年6月，按仓）,2025年6月本地履约率怎么样？按仓看,,
INT-606,意图识别,KPI报告意图识别,查询拆单率（2025年6月，按仓）,2025年6月拆单率是多少？按仓看,,
INT-607,意图识别,KPI报告意图识别,查询旧批次拆单率（2025年6月，按仓）,2025年6月旧批次拆单率怎么样？按仓看,,
INT-608,意图识别,KPI报告意图识别,查询物流运费成本（2025年6月，订单运费，按仓）,2025年6月订单运费是多少？按仓看,,
INT-609,意图识别,KPI报告意图识别,查询物流总运费（2025年6月，汇总）,2025年6月物流总运费是多少,,
INT-610,意图识别,KPI报告意图识别,查询调拨总运费（2025年6月，汇总）,2025年6月调拨总运费是多少,,
INT-611,意图识别,KPI报告意图识别,查询2025年6月拆单增量成本（按仓）,2025年6月拆单增量成本是多少？按仓看,,
